# scripts/shadow-meter-audit.tsv — 存疑档案人工认对清单(刀E §E3.5 + 刀F §F1 两级判据重生成于 2026-07-31)
# 打底口径:meter 的 区域(area)/位置(spot)/企业名称(tenant_name)/编码(code) 四项全空 且已有读数 —— 共 310 块 / 338 条读数。
# 【§F1 修正】四空是「档案完整度」条件,不是「重复性」条件,故拆两级(mark 列):
#   shadow(10 块 / 10 条,全在一期)= 四空 **且** 能配到一块档案完整(area/code/tenant_name 至少一项非空)的
#       同 (kind, zone, building_id) 表、且**同月 prev_total + curr_total + factor_snap 三格全等**
#       → 疑似同一块物理表的第二份档案;V75 标 suspect='shadow',用量**不计入**楼栋分表Σ,屏上红底。
#   incomplete(300 块 / 328 条)= 四空但配不上 → 只是档案没填全,当真表处理:用量**照常计入Σ**,屏上黄底。
#       含 5 块挂栋的二期临电(1415 黎镇源临电/1416 佳亿兴电/1417 广聚运通电/1418 欧伟杰临电/1419 广联临电)——
#       刀E 把它们误标 shadow 会永久踢出Σ,今天读数恰为 0.00 不暴雷,下月抄出非零就静默消失。
#       也含 289 块宿舍表:它们是尖/峰/平/谷四列被拆成四块表(「陈昌辉尖/峰/平/谷」对应真档案「陈昌辉总」),
#       不是同一块表的两份档案,读数本就不相等 —— 配不上是正确的,归 incomplete 只做展示提示。
# 本刀只标不删不合并 —— 合并需人工逐条认对,认错就丢读数。
# 列:mark 两级标 | meter_id | kind | zone | building_id | name 标识名 | ownership |
#     ym | prev_total | curr_total | factor_snap | usage_qty 用量 |
#     match_id/match_name/match_area/match_spot/match_tenant/match_code 三格全等配到的档案完整表(仅 shadow 有) |
#     name_hint_id/name_hint_name 标识名线索(「X尖/峰/平/谷」→「X总」,仅供人工参考,不参与判据)
# 解除:在抄表屏「只看存疑」筛出 → 打开档案抽屉补齐区域/位置/编码并保存一次,后端自动清标(MeterService.apply)。
mark	meter_id	kind	zone	building_id	name	ownership	ym	prev_total	curr_total	factor_snap	usage_qty	match_id	match_name	match_area	match_spot	match_tenant	match_code	name_hint_id	name_hint_name
incomplete	513	elec	dorm	NULL	陈昌辉平	share	2024-05	7297.46	8196.44	1.00	898.98	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	514	elec	dorm	NULL	陈昌辉谷	share	2024-02	2229.90	2254.14	1.00	24.24	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	514	elec	dorm	NULL	陈昌辉谷	share	2024-05	2987.63	3393.15	1.00	405.52	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	516	elec	dorm	NULL	彭健宜尖	share	2024-02	383.32	507.95	1.00	124.63	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	516	elec	dorm	NULL	彭健宜尖	share	2024-05	1117.03	1453.85	1.00	336.82	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	517	elec	dorm	NULL	彭健宜峰	share	2024-02	425.21	565.98	1.00	140.77	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	517	elec	dorm	NULL	彭健宜峰	share	2024-05	1317.52	1731.63	1.00	414.11	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	518	elec	dorm	NULL	彭健宜平	share	2024-02	218.54	259.67	1.00	41.13	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	518	elec	dorm	NULL	彭健宜平	share	2024-05	534.71	653.48	1.00	118.77	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	519	elec	dorm	NULL	彭健宜谷	share	2024-02	98.37	110.31	1.00	11.94	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	519	elec	dorm	NULL	彭健宜谷	share	2024-05	146.67	176.73	1.00	30.06	NULL	NULL	NULL	NULL	NULL	NULL	515	彭健宜总
incomplete	522	elec	dorm	NULL	蔡高育尖	share	2024-02	1114.76	1172.28	1.00	57.52	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	522	elec	dorm	NULL	蔡高育尖	share	2024-05	1424.47	1583.65	1.00	159.18	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	523	elec	dorm	NULL	蔡高育峰	share	2024-02	1977.27	2080.71	1.00	103.44	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	523	elec	dorm	NULL	蔡高育峰	share	2024-05	2575.12	2847.26	1.00	272.14	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	524	elec	dorm	NULL	蔡高育平	share	2024-02	2892.27	3059.72	1.00	167.45	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	524	elec	dorm	NULL	蔡高育平	share	2024-05	3988.89	4566.79	1.00	577.90	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	525	elec	dorm	NULL	蔡高育谷	share	2024-02	1369.96	1404.31	1.00	34.35	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	525	elec	dorm	NULL	蔡高育谷	share	2024-05	1756.24	1971.40	1.00	215.16	NULL	NULL	NULL	NULL	NULL	NULL	521	蔡高育总
incomplete	527	elec	dorm	NULL	雷少康尖	share	2024-02	1885.10	1933.05	1.00	47.95	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	527	elec	dorm	NULL	雷少康尖	share	2024-05	2567.12	2875.54	1.00	308.42	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	528	elec	dorm	NULL	雷少康峰	share	2024-02	2777.03	2838.65	1.00	61.62	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	528	elec	dorm	NULL	雷少康峰	share	2024-05	3672.31	4111.66	1.00	439.35	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	529	elec	dorm	NULL	雷少康平	share	2024-02	5977.37	6141.32	1.00	163.95	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	529	elec	dorm	NULL	雷少康平	share	2024-05	8060.06	9061.48	1.00	1001.42	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	530	elec	dorm	NULL	雷少康谷	share	2024-02	2326.25	2367.83	1.00	41.58	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	530	elec	dorm	NULL	雷少康谷	share	2024-05	3023.43	3388.61	1.00	365.18	NULL	NULL	NULL	NULL	NULL	NULL	526	雷少康总
incomplete	535	elec	dorm	NULL	广联饭堂尖	share	2024-02	23.45	29.59	1.00	6.14	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	535	elec	dorm	NULL	广联饭堂尖	share	2024-05	57.40	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	536	elec	dorm	NULL	广联饭堂峰	share	2024-02	14.14	18.91	1.00	4.77	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	536	elec	dorm	NULL	广联饭堂峰	share	2024-05	37.74	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	537	elec	dorm	NULL	广联饭堂平	share	2024-02	15.13	19.50	1.00	4.37	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	537	elec	dorm	NULL	广联饭堂平	share	2024-05	44.66	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	538	elec	dorm	NULL	广联饭堂谷	share	2024-02	3.82	4.80	1.00	0.98	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	538	elec	dorm	NULL	广联饭堂谷	share	2024-05	9.81	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	534	广联饭堂总
incomplete	543	elec	dorm	NULL	彭周荣尖	share	2024-02	1165.63	1243.16	1.00	77.53	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	543	elec	dorm	NULL	彭周荣尖	share	2024-05	1571.71	1782.18	1.00	210.47	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	544	elec	dorm	NULL	彭周荣峰	share	2024-02	1745.44	1873.55	1.00	128.11	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	544	elec	dorm	NULL	彭周荣峰	share	2024-05	2363.11	2667.33	1.00	304.22	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	545	elec	dorm	NULL	彭周荣平	share	2024-02	3684.97	3985.11	1.00	300.14	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	545	elec	dorm	NULL	彭周荣平	share	2024-05	5053.19	5689.42	1.00	636.23	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	546	elec	dorm	NULL	彭周荣谷	share	2024-02	1146.70	1228.58	1.00	81.88	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	546	elec	dorm	NULL	彭周荣谷	share	2024-05	1577.34	1800.30	1.00	222.96	NULL	NULL	NULL	NULL	NULL	NULL	542	彭周荣总
incomplete	548	elec	dorm	NULL	彭小兰尖	share	2024-02	436.27	545.06	1.00	108.79	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	548	elec	dorm	NULL	彭小兰尖	share	2024-05	1061.81	1285.83	1.00	224.02	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	549	elec	dorm	NULL	彭小兰峰	share	2024-02	560.59	725.01	1.00	164.42	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	549	elec	dorm	NULL	彭小兰峰	share	2024-05	1348.20	1600.23	1.00	252.03	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	550	elec	dorm	NULL	彭小兰平	share	2024-02	586.79	813.99	1.00	227.20	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	550	elec	dorm	NULL	彭小兰平	share	2024-05	1877.22	2472.94	1.00	595.72	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	551	elec	dorm	NULL	彭小兰谷	share	2024-02	82.67	122.59	1.00	39.92	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	551	elec	dorm	NULL	彭小兰谷	share	2024-05	327.83	511.68	1.00	183.85	NULL	NULL	NULL	NULL	NULL	NULL	547	彭小兰总
incomplete	1154	water	dorm	NULL	101	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1155	water	dorm	NULL	201	share	2024-02	111.00	122.00	1.00	11.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1156	water	dorm	NULL	202	share	2024-02	67.00	67.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1157	water	dorm	NULL	203	share	2024-02	20.00	20.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1158	water	dorm	NULL	204	share	2024-02	38.00	38.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1159	water	dorm	NULL	205	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1160	water	dorm	NULL	206	share	2024-02	7.00	8.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1161	water	dorm	NULL	207	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1162	water	dorm	NULL	208	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1163	water	dorm	NULL	209	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1164	water	dorm	NULL	210	share	2024-02	31.00	32.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1165	water	dorm	NULL	211	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1166	water	dorm	NULL	212	share	2024-02	163.00	165.00	1.00	2.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1167	water	dorm	NULL	213	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1168	water	dorm	NULL	214	share	2024-02	29.00	33.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1169	water	dorm	NULL	215	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1170	water	dorm	NULL	216	share	2024-02	203.00	204.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1171	water	dorm	NULL	217	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1172	water	dorm	NULL	218	share	2024-02	114.00	114.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1173	water	dorm	NULL	219	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1174	water	dorm	NULL	220	share	2024-02	135.00	136.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1175	water	dorm	NULL	221	share	2024-02	41.00	41.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1176	water	dorm	NULL	222	share	2024-02	187.00	190.00	1.00	3.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1177	water	dorm	NULL	223	share	2024-02	247.00	249.00	1.00	2.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1178	water	dorm	NULL	224	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1179	water	dorm	NULL	226	share	2024-02	251.00	259.00	1.00	8.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1180	water	dorm	NULL	228	share	2024-02	169.00	176.00	1.00	7.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1181	water	dorm	NULL	301	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1182	water	dorm	NULL	302	share	2024-02	330.00	339.00	1.00	9.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1183	water	dorm	NULL	303	share	2024-02	132.00	133.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1184	water	dorm	NULL	304	share	2024-02	21.00	25.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1185	water	dorm	NULL	305	share	2024-02	111.00	113.00	1.00	2.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1186	water	dorm	NULL	306	share	2024-02	101.00	105.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1187	water	dorm	NULL	307	share	2024-02	248.00	250.00	1.00	2.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1188	water	dorm	NULL	308	share	2024-02	98.00	105.00	1.00	7.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1189	water	dorm	NULL	309	share	2024-02	22.00	29.00	1.00	7.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1190	water	dorm	NULL	310	share	2024-02	28.00	32.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1191	water	dorm	NULL	311	share	2024-02	40.00	56.00	1.00	16.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1192	water	dorm	NULL	312	share	2024-02	137.00	145.00	1.00	8.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1193	water	dorm	NULL	313	share	2024-02	84.00	88.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1194	water	dorm	NULL	314	share	2024-02	97.00	101.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1195	water	dorm	NULL	315	share	2024-02	26.00	27.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1196	water	dorm	NULL	316	share	2024-02	10.00	12.00	1.00	2.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1197	water	dorm	NULL	317	share	2024-02	94.00	95.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1198	water	dorm	NULL	318	share	2024-02	34.00	38.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1199	water	dorm	NULL	319	share	2024-02	28.00	28.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1200	water	dorm	NULL	320	share	2024-02	11.00	11.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1201	water	dorm	NULL	321	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1202	water	dorm	NULL	322	share	2024-02	51.00	55.00	1.00	4.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1203	water	dorm	NULL	323	share	2024-02	176.00	186.00	1.00	10.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1204	water	dorm	NULL	324	share	2024-02	36.00	36.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1205	water	dorm	NULL	326	share	2024-02	28.00	29.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1206	water	dorm	NULL	328	share	2024-02	97.00	98.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1207	water	dorm	NULL	401	share	2024-02	339.00	339.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1208	water	dorm	NULL	402	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1209	water	dorm	NULL	403	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1210	water	dorm	NULL	404	share	2024-02	150.00	150.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1211	water	dorm	NULL	405	share	2024-02	514.00	514.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1212	water	dorm	NULL	406	share	2024-02	9.00	10.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1213	water	dorm	NULL	407	share	2024-02	28.00	29.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1214	water	dorm	NULL	408	share	2024-02	10.00	11.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1215	water	dorm	NULL	409	share	2024-02	37.00	39.00	1.00	2.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1216	water	dorm	NULL	410	share	2024-02	86.00	86.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1217	water	dorm	NULL	411	share	2024-02	21.00	31.00	1.00	10.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1218	water	dorm	NULL	412	share	2024-02	77.00	77.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1219	water	dorm	NULL	413	share	2024-02	26.00	29.00	1.00	3.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1220	water	dorm	NULL	414	share	2024-02	85.00	86.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1221	water	dorm	NULL	415	share	2024-02	21.00	22.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1222	water	dorm	NULL	416	share	2024-02	89.00	90.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1223	water	dorm	NULL	417	share	2024-02	23.00	33.00	1.00	10.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1224	water	dorm	NULL	418	share	2024-02	132.00	133.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1225	water	dorm	NULL	419	share	2024-02	7.00	18.00	1.00	11.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1226	water	dorm	NULL	420	share	2024-02	86.00	87.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1227	water	dorm	NULL	421	share	2024-02	21.00	31.00	1.00	10.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
