# scripts/meter-loc-todo.tsv — 电表位置待补清单(刀G §G3,只读 SQL 生成于 2026-07-31)
# 口径:meter 有 area(区域)非空 + floor_label(楼层)为空 + 已有读数 —— 共 126 块。
#   其中 84 块连 spot(位置原文)也为空 —— 屏上「楼层·方位」列与池屏标签会显示占位段「(位置未录)」;
#   另 42 块 spot 有原文(如「招商中心门口 1」)但解析不出楼层,屏上照 spot 原文显示,不补占位。
# 「房号线索」列 = 从 标识名|企业名称 里正则抓出的 [A-Za-z]?\d{3,4}(7 块命中,如 219 优凯A305电 → A305),
#   **仅供人工判断,系统不据此反猜楼层**(§G3「不做」:优凯A305电→三楼305室 这类推断有误伤面)。
# 补法:抄表屏点开表档案抽屉,填「楼层/方位/房号」三格保存(§A.3 已做成可编辑,§F6 位掩码只冻结改过的那列)。
# 生成 SQL(只读):
#   SELECT m.id,m.kind,m.zone,b.name,m.area,m.spot,m.floor_label,m.side,m.room_no,m.name,m.tenant_name,
#          m.sub_name,m.ownership,REGEXP_SUBSTR(CONCAT(m.name,'|',COALESCE(m.tenant_name,'')),'[A-Za-z]?[0-9]{3,4}'),
#          COUNT(r.id),MIN(r.ym),MAX(r.ym)
#   FROM meter m JOIN meter_reading r ON r.meter_id=m.id LEFT JOIN building b ON b.id=m.building_id
#   WHERE COALESCE(m.area,'')<>'' AND COALESCE(m.floor_label,'')='' GROUP BY m.id,... ORDER BY m.zone,b.name,m.area,m.name;
表ID	类别	期	楼栋	区域	位置原文	楼层	方位	房号	标识名	企业名称	表号	归属	房号线索	读数条数	首月	末月
999	water	dorm	一期 宿舍四栋	四栋					四栋宿舍总水		水表①	infra		2	2024-02	2024-05
1001	water	dorm	一期 宿舍四栋	四栋					四栋宿舍电梯	四栋宿舍电梯	水表①	share		2	2024-02	2024-05
698	elec	dorm	一期 宿舍四栋	四栋					四栋电梯	四栋宿舍电梯	电表①	share		2	2024-02	2024-05
393	water	p1		一、二期宿舍园区消防水表	1				喷淋水1	喷淋水表1		share		2	2024-02	2024-05
397	water	p1		二期绿化水分表	三车间				三车间工地水1	三期工地（三车间）	水表①	share		2	2024-02	2024-05
388	water	p1		供水总水表					园区总水表		总水表	infra		2	2024-02	2024-05
390	water	p1		园区	招商中心门口 1				园区东侧绿化水1	园区绿化水表1	水表①	ops		2	2024-02	2024-05
391	water	p1		园区	招商中心门口 2				园区东侧绿化水2	园区绿化水表2	水表②	ops		2	2024-02	2024-05
392	water	p1		园区	园区西侧 3		西侧		园区西侧绿化水	园区绿化水表3	水表③	ops		2	2024-02	2024-05
185	elec	p1	一期 A座	A座	2023-5-18				A座备用电	备用电源	电表①	share		3	2023-10	2024-05
389	water	p1	一期 A座	A座					A座总水		总水表	infra		2	2024-02	2024-05
179	elec	p1	一期 A座	A座					A座总电		总电表	infra		3	2023-10	2024-05
213	elec	p1	一期 A座	A座					中大A301公共电1	已停用	电表②	share	A301	3	2023-10	2024-05
211	elec	p1	一期 A座	A座					中大A301电1	已停用	电表①	tenant	A301	3	2023-10	2024-05
212	elec	p1	一期 A座	A座					中大A304电2	已停用	电表①	tenant	A304	3	2023-10	2024-05
186	elec	p1	一期 A座	A座					消防稳压	消防稳压泵	电表①	share		2	2024-02	2024-05
180	elec	p1	一期 A座	A座自装总电表					A座自装总表		总电表	infra		3	2023-10	2024-05
181	elec	p1	一期 A座	三期项目工地					三车间工地	三车间		tenant		2	2024-02	2024-05
266	elec	p1	一期 B-G座	B-G座					B-G座总电		总电表	infra		2	2024-02	2024-05
442	water	p1	一期 B座	B座	东侧		东侧		B座东侧总水	B座东侧	水表①	infra		2	2024-02	2024-05
443	water	p1	一期 B座	B座					B座东侧水表（未知）	B座东侧总水表旁分表	水表①	share		2	2024-02	2024-05
267	elec	p1	一期 B座	B座					B座总电		总电表	infra		2	2024-02	2024-05
444	water	p1	一期 B座	B座	西侧		西侧		B座西侧总水	B座西侧	水表②	infra		2	2024-02	2024-05
268	elec	p1	一期 B座	三期项目工地					四车间工地	四车间		share		2	2024-02	2024-05
453	water	p1	一期 C座	C座					C座东侧总水表	C座东侧新	水表①	infra		2	2024-02	2024-05
285	elec	p1	一期 C座	C座					C座总电		总电表	infra		2	2024-02	2024-05
454	water	p1	一期 C座	C座	西侧		西侧		C座西侧总水表	C座西侧	水表②	infra		2	2024-02	2024-05
465	water	p1	一期 D座	D座					D座东侧总水	D座东侧新	水表①	infra		2	2024-02	2024-05
323	elec	p1	一期 D座	D座					D座总电		总电表	infra		2	2024-02	2024-05
466	water	p1	一期 D座	D座	西侧		西侧		D座西侧总水	D座西侧	水表②	infra		2	2024-02	2024-05
324	elec	p1	一期 D座	D座					翔海借电D	G座翔海借电	电表①	tenant		2	2024-02	2024-05
1426	elec	p1	一期 E座	E座					E座	光伏工程用电		share		1	2024-02	2024-02
476	water	p1	一期 E座	E座	东侧		东侧		E座东侧总水1	E座东侧	水表①	infra		2	2024-02	2024-05
342	elec	p1	一期 E座	E座					E座总电		总电表	infra		2	2024-02	2024-05
477	water	p1	一期 E座	E座	西侧		西侧		E座西侧总水	E座西侧	水表②	infra		2	2024-02	2024-05
344	elec	p1	一期 E座	E座					F401借电E	F座401室借电	电表①	tenant	F401	2	2024-02	2024-05
343	elec	p1	一期 E座	E座					翔海借电E	G座翔海借电	电表①	tenant		2	2024-02	2024-05
1427	elec	p1	一期 F座	F座	E、F座之间充电车棚				F座-E、F座之间充电车棚			share		1	2024-02	2024-02
488	water	p1	一期 F座	F座	东侧		东侧		F座东侧总水	F座东侧	水表①	infra		2	2024-02	2024-05
366	elec	p1	一期 F座	F座					F座总电		总电表	infra		2	2024-02	2024-05
489	water	p1	一期 F座	F座	西侧		西侧		F座西侧总水	F座西侧	水表②	infra		2	2024-02	2024-05
367	elec	p1	一期 F座	F座					翔海借电F	G座翔海借电	电表①	tenant		2	2024-02	2024-05
500	water	p1	一期 G座	G座					G总水1	翔海	水表①	infra		2	2024-02	2024-05
501	water	p1	一期 G座	G座					G总水2	翔海新	水表②	infra		2	2024-02	2024-05
384	elec	p1	一期 G座	G座					G翔海电	翔海	总电表	infra		2	2024-02	2024-05
385	elec	p1	一期 G座	G座					张执盛电表1	F座401室借电	电表①	tenant	401	2	2024-02	2024-05
386	elec	p1	一期 G座	G座					张执盛电表2	F座401室借电	电表②	tenant	401	2	2024-02	2024-05
387	elec	p1	一期 G座	G座					林锐辉电	翔海自建变压器	总电表	infra		2	2024-02	2024-05
219	elec	p1	一期 招商中心	招商中心					优凯A305电	已停用	电表①	tenant	A305	3	2023-10	2024-05
92	water	p2		一、二期、宿舍绿化总水表					园区绿化总水			ops		2	2024-02	2024-05
93	water	p2		二期保安室					二期保安室			ops		2	2024-02	2024-05
1	elec	p2		二期园区变压器					二期总电		总电表	infra		2	2024-02	2024-05
91	water	p2		二期总水表					二期总水表			share		2	2024-02	2024-05
178	water	p2		钢构车间	101室			101室	陈书谨水	陈书谨	水表①	tenant		2	2024-02	2024-05
94	water	p2	二期 一车间	一车间	1-3楼				一车间低压总水	1-3楼	低区总水表	infra		2	2024-02	2024-05
2	elec	p2	二期 一车间	一车间					一车间总电		总电表	infra		2	2024-02	2024-05
3	elec	p2	二期 一车间	一车间					一车间消防	消防	电表①	share		2	2024-02	2024-05
4	elec	p2	二期 一车间	一车间					一车间电梯	电梯+低压电房照明	电表①	share		2	2024-02	2024-05
95	water	p2	二期 一车间	一车间	4-7楼				一车间高压总水	4-7楼	高区总水表	infra		2	2024-02	2024-05
5	elec	p2	二期 一车间	园区					园区消防水稳压泵	消防水稳压泵	电表①	share		2	2024-02	2024-05
122	water	p2	二期 三车间	三车间	1-3楼				三车间低压总水	1-3楼	低区总水表	infra		2	2024-02	2024-05
30	elec	p2	二期 三车间	三车间					三车间总电		总电表	infra		2	2024-02	2024-05
31	elec	p2	二期 三车间	三车间					三车间消防	消防	电表①	share		2	2024-02	2024-05
32	elec	p2	二期 三车间	三车间					三车间电梯	电梯+低压电房照明	电表①	share		2	2024-02	2024-05
123	water	p2	二期 三车间	三车间	4-7楼				三车间高压总水	4-7楼	高区总水表	infra		2	2024-02	2024-05
33	elec	p2	二期 三车间	园区					园区生活水泵、消防控制室	园区生活水泵、消防控制室	电表①	share		2	2024-02	2024-05
34	elec	p2	二期 三车间	铝缆					三至二铝缆	连接二车间	电表①	infra		2	2024-02	2024-05
35	elec	p2	二期 三车间	铝缆					三至四铝缆	连接四车间	电表①	infra		2	2024-02	2024-05
113	water	p2	二期 二车间	二车间	1-3楼				二车间低压总水	1-3楼	低区总水表	infra		2	2024-02	2024-05
21	elec	p2	二期 二车间	二车间					二车间总电		总电表	infra		2	2024-02	2024-05
22	elec	p2	二期 二车间	二车间					二车间消防	消防	电表①	share		2	2024-02	2024-05
23	elec	p2	二期 二车间	二车间					二车间电梯	电梯+低压电房照明	电表①	share		2	2024-02	2024-05
114	water	p2	二期 二车间	二车间	4-7楼				二车间高压总水	4-7楼	高区总水表	infra		2	2024-02	2024-05
55	elec	p2	二期 五车间	五车间					五车间总电		总电表	infra		2	2024-02	2024-05
56	elec	p2	二期 五车间	五车间					五车间消防	消防	电表①	share		2	2024-02	2024-05
59	elec	p2	二期 五车间	五车间					五车间电梯	电梯+低压电房照明	电表①	share		2	2024-02	2024-05
57	elec	p2	二期 五车间	五车间	消防分表				五车间装饰灯新表	广告字灯（消防分表）	电表①	share		2	2024-02	2024-05
150	water	p2	二期 五车间	五车间	4-7楼				五车间高压总水	4-7楼	高区总水表	infra		2	2024-02	2024-05
149	water	p2	二期 五车间	五车间	1-3楼				力灏水	1-3楼（力灏）	低区总水表	infra		2	2024-02	2024-05
64	elec	p2	二期 五车间	五车间	一、二、三楼				力灏电	力灏	电表①	tenant		2	2024-02	2024-05
58	elec	p2	二期 五车间	五车间	火炬园广告字				火炬园广告字电	广告字灯（火炬园广告字）	电表①	share		2	2024-02	2024-05
60	elec	p2	二期 五车间	园区					园区保安亭路灯	保安亭、路灯等	电表①	share		2	2024-02	2024-05
61	elec	p2	二期 五车间	园区					园区充电桩	三号岗保安亭	电表①	share		2	2024-02	2024-05
63	elec	p2	二期 五车间	铝缆					五连一铝缆	连接一车间	电表①	infra		2	2024-02	2024-05
62	elec	p2	二期 五车间	铝缆					五连六铝缆	连接六车间	电表①	infra		2	2024-02	2024-05
160	water	p2	二期 六车间	六车间	1-3楼				六车间低压总水	1-3楼	低区总水表	infra		2	2024-02	2024-05
76	elec	p2	二期 六车间	六车间	消防分表				六车间广告字新表	广告字灯（消防分表）	电表①	share		2	2024-02	2024-05
74	elec	p2	二期 六车间	六车间					六车间总		总电表	infra		2	2024-02	2024-05
75	elec	p2	二期 六车间	六车间					六车间消防	消防	电表①	share		2	2024-02	2024-05
77	elec	p2	二期 六车间	六车间					六车间电梯2	电梯+低压电房照明	电表①	share		2	2024-02	2024-05
161	water	p2	二期 六车间	六车间	4-7楼				六车间高压总水	4-7楼	高区总水表	infra		2	2024-02	2024-05
89	elec	p2	二期 六车间	六车间	六、七楼				罗立剑电	罗立剑	电表①	tenant		2	2024-02	2024-05
53	elec	p2	二期 四车间	四车间	403室			403室	两岸食品电	两岸食品	电表①	tenant		2	2024-02	2024-05
134	water	p2	二期 四车间	四车间	1-3楼				四车间低压总水	1-3楼	低区总水表	infra		2	2024-02	2024-05
45	elec	p2	二期 四车间	四车间					四车间总电		总电表	infra		2	2024-02	2024-05
46	elec	p2	二期 四车间	四车间					四车间消防	消防	电表①	share		2	2024-02	2024-05
47	elec	p2	二期 四车间	四车间					四车间电梯	电梯+低压电房照明	电表①	share		2	2024-02	2024-05
135	water	p2	二期 四车间	四车间	4-7楼				四车间高压总水	4-7楼	高区总水表	infra		2	2024-02	2024-05
49	elec	p2	二期 四车间	四车间	101-701室				广联电	广联、氙明	电表①	tenant		2	2024-02	2024-05
54	elec	p2	二期 四车间	四车间	202-204室				张木兰电	张木兰	电表①	tenant		2	2024-02	2024-05
50	elec	p2	二期 四车间	四车间	104室 1			104室	许旭锐临电	许旭锐临电1	电表①	tenant		1	2024-05	2024-05
51	elec	p2	二期 四车间	四车间	104室 2			104室	许旭锐临电2	许旭锐临电2	电表①	tenant		1	2024-05	2024-05
52	elec	p2	二期 四车间	四车间	104-604室				许旭锐电	许旭锐	电表①	tenant		1	2024-05	2024-05
48	elec	p2	二期 四车间	园区					园区绿化水泵	绿化水泵	电表①	share		2	2024-02	2024-05
90	elec	p2	二期 钢构车间	钢构车间	101室			101室	陈书谨电	陈书谨	电表①	tenant		2	2024-02	2024-05
